Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.07136,,,,,,,,,,96.71978,,,,,,,,97.81268,
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,4.987460136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.61206,,,,,,,29.80521,
Angola,AGO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.19449,,,,,,,,,,,,,53.40721,,,,,
Albania,ALB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.25227,,,,,,,94.68181,,,95.69148,96.13607,,,,,,97.76112,
Andorra,AND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,32.17895889,32.77814102,33.41033936,34.04885864,34.84172821,35.25590897,36.20307922,37.04375076,37.98416138,38.8338089,39.89302826,40.91355896,41.99404907,43.17975998,44.34780121,44.62382889,45.75983047,46.86320114,48.70183182,49.66159821,51.10921097,52.47275162,54.01549911,55.13000107,56.58026886,58.96910095,60.31809998,,60.09125137,60.49969101,61.88325882,60.36513138,61.65536,63.90498,65.32213,65.75614,66.55894,67.14327,66.06826,67.16059,67.22897,
United Arab Emirates,ARE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,38.1248703,,,,,,,,,,68.66127777,,,,,,,,,,,,,,,,,,,,91.47475,,,,,,,,,,,,,,
Argentina,ARG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,93.58088684,,,,,,,,,,,96.04135895,,,,,,,,,,97.19341,,,,,98.51077,,,99.00176,98.92807,98.99984,99.09995,99.09121,98.93282,99.20877,99.1431,,99.06204,
Armenia,ARM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.15013885,,,,,,,,,,,,99.16107,,,,,,,,,,99.69035,,,,,,99.67716,,
American Samoa,ASM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,97.21990967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
