Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,69.9153976,70.8105388,71.70568,72.2839554,72.8622308,73.4405062,74.0187816,74.597057,75.5041962,76.4113354,77.3184746,78.2256138,79.132753,79.7013808,80.2700086,80.8386364,81.4072642,81.975892,82.2639768,82.5520616,82.8401464,83.1282312,83.416316,83.5971108,83.7779056,83.9587004,84.1394952,84.32029,84.379384,84.438478,84.497572,84.556666,84.61576,84.6742388,84.7327176,84.7911964,84.8496752,84.908154,84.9633444,85.0185348,85.0737252,85.1289156,85.184106,85.3831966,85.5822872,85.7813778,85.9804684,86.179559,86.3573188,86.5350786,86.7128384,86.8905982,87.068358,87.2402536,87.4121492,87.5840448,87.7559404,87.927836,,
Afghanistan,AFG,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,21.4780472,22.1057936,22.73354,23.331085,23.92863,24.526175,25.12372,25.721265,26.3893846,27.0575042,27.7256238,28.3937434,29.061863,29.8381722,30.6144814,31.3907906,32.1670998,32.943409,33.8757898,34.8081706,35.7405514,36.6729322,37.605313,38.6634362,39.7215594,40.7796826,41.8378058,42.895929,43.8678956,44.8398622,45.8118288,46.7837954,47.755762,48.599696,49.44363,50.287564,51.131498,51.975432,52.6949104,53.4143888,54.1338672,54.8533456,55.572824,56.429403,57.285982,58.142561,58.99914,59.855719,60.7424844,61.6292498,62.5160152,63.4027806,64.289546,64.946512,65.603478,66.260444,66.91741,67.574376,,
Angola,AGO,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,30.30936,30.660013,31.010666,31.4477962,31.8849264,32.3220566,32.7591868,33.196317,33.6620282,34.1277394,34.5934506,35.0591618,35.524873,35.9742048,36.4235366,36.8728684,37.3222002,37.771532,38.110529,38.449526,38.788523,39.12752,39.466517,39.6502826,39.8340482,40.0178138,40.2015794,40.385345,40.4101276,40.4349102,40.4596928,40.4844754,40.509258,40.6790884,40.8489188,41.0187492,41.1885796,41.35841,42.0462474,42.7340848,43.4219222,44.1097596,44.797597,46.1644822,47.5313674,48.8982526,50.2651378,51.632023,53.2021724,54.7723218,56.3424712,57.9126206,59.48277,60.3193652,61.1559604,61.9925556,62.8291508,63.665746,,
Albania,ALB,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,68.0644458,69.8695254,71.674605,71.9995106,72.3244162,72.6493218,72.9742274,73.299133,73.9002482,74.5013634,75.1024786,75.7035938,76.304709,76.8612656,77.4178222,77.9743788,78.5309354,79.087492,79.6918406,80.2961892,80.9005378,81.5048864,82.109235,82.763607,83.417979,84.072351,84.726723,85.381095,85.335072,85.289049,85.243026,85.197003,85.15098,85.4004566,85.6499332,85.8994098,86.1488864,86.398363,86.806862,87.215361,87.62386,88.032359,88.440858,88.605522,88.770186,88.93485,89.099514,89.264178,89.609936,89.955694,90.301452,90.64721,90.992968,91.0234534,91.0539388,91.0844242,91.1149096,91.145395,,
Andorra,AND,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,44.5164342,45.25295482,45.99822074,46.81638421,47.63317484,48.44694181,49.26161011,50.07232926,50.83102927,51.59271253,52.35784086,53.13217304,53.90900351,54.8305309,55.73600706,56.62185488,57.4786172,58.31540949,59.35539388,60.40454688,61.47064806,62.56988369,63.68770839,64.59760337,65.50584462,66.40652818,67.2995312,68.1854846,68.78642062,69.38459335,70.01484118,70.62550693,71.13188014,71.6981768,72.26012904,72.89048465,73.45258238,74.00733158,74.39575409,74.77817735,75.15556738,75.52934622,75.89971604,76.34549489,76.79082421,77.23737802,77.7014244,78.164665,78.47626593,78.78015922,79.0752191,79.36214218,79.64317147,79.89921456,80.1464296,80.38648275,80.62109175,80.8508487,,
United Arab Emirates,ARE,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,52.736516,53.913675,55.090834,56.3029546,57.5150752,58.7271958,59.9393164,61.151437,62.289207,63.426977,64.564747,65.702517,66.840287,67.733021,68.625755,69.518489,70.411223,71.303957,71.976098,72.648239,73.32038,73.992521,74.664662,75.168563,75.672464,76.176365,76.680266,77.184167,77.6024672,78.0207674,78.4390676,78.8573678,79.275668,79.6592108,80.0427536,80.4262964,80.8098392,81.193382,81.7361232,82.2788644,82.8216056,83.3643468,83.907088,84.2595604,84.6120328,84.9645052,85.3169776,85.66945,86.0049838,86.3405176,86.6760514,87.0115852,87.347119,87.634559,87.921999,88.209439,88.496879,88.784319,,
Argentina,ARG,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,71.8853156,72.4272218,72.969128,73.2342536,73.4993792,73.7645048,74.0296304,74.294756,74.6994426,75.1041292,75.5088158,75.9135024,76.318189,76.7196626,77.1211362,77.5226098,77.9240834,78.325557,78.7422966,79.1590362,79.5757758,79.9925154,80.409255,80.6213588,80.8334626,81.0455664,81.2576702,81.469774,81.6295872,81.7894004,81.9492136,82.1090268,82.26884,82.483726,82.698612,82.913498,83.128384,83.34327,83.5419286,83.7405872,83.9392458,84.1379044,84.336563,84.520485,84.704407,84.888329,85.072251,85.256173,85.4267028,85.5972326,85.7677624,85.9382922,86.108822,86.2671692,86.4255164,86.5838636,86.7422108,86.900558,,
Armenia,ARM,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,73.3827262,74.0824806,74.782235,75.3744994,75.9667638,76.5590282,77.1512926,77.743557,78.1348604,78.5261638,78.9174672,79.3087706,79.700074,79.6659536,79.6318332,79.5977128,79.5635924,79.529472,79.589854,79.650236,79.710618,79.771,79.831382,78.848331,77.86528,76.882229,75.899178,74.916127,75.2798112,75.6434954,76.0071796,76.3708638,76.734548,77.2885136,77.8424792,78.3964448,78.9504104,79.504376,80.2451324,80.9858888,81.7266452,82.4674016,83.208158,83.3246414,83.4411248,83.5576082,83.6740916,83.790575,84.1840484,84.5775218,84.9709952,85.3644686,85.757942,86.2334166,86.7088912,87.1843658,87.6598404,88.135315,,
American Samoa,ASM,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
